Date;Age;Area;#Vaccinations
1 Marzo;16-19;Lazio;6
1 Marzo;16-19;Puglia;6
1 Marzo;16-19;Sicilia;5
1 Marzo;16-19;Toscana;5
1 Marzo;16-19;Veneto;5
1 Marzo;20-29;Toscana;444
1 Marzo;20-29;Puglia;363
1 Marzo;20-29;Veneto;334
1 Marzo;20-29;Piemonte;283
1 Marzo;20-29;Lombardia;271
1 Marzo;30-39;Toscana;911
1 Marzo;30-39;Campania;564
1 Marzo;30-39;Puglia;545
1 Marzo;30-39;Piemonte;393
1 Marzo;30-39;Lombardia;387
1 Marzo;40-49;Toscana;1424
1 Marzo;40-49;Campania;1150
1 Marzo;40-49;Puglia;919
1 Marzo;40-49;Lazio;880
1 Marzo;40-49;Sicilia;678
1 Marzo;50-59;Campania;1867
1 Marzo;50-59;Lazio;1159
1 Marzo;50-59;Toscana;1069
1 Marzo;50-59;Puglia;975
1 Marzo;50-59;Sicilia;622
1 Marzo;60-69;Campania;960
1 Marzo;60-69;Puglia;441
1 Marzo;60-69;Lazio;286
1 Marzo;60-69;Toscana;236
1 Marzo;60-69;Veneto;163
1 Marzo;70-79;Lombardia;134
1 Marzo;70-79;Lazio;91
1 Marzo;70-79;Sardegna;54
1 Marzo;70-79;Toscana;54
1 Marzo;70-79;Sicilia;49
1 Marzo;80-89;Lazio;3192
1 Marzo;80-89;Lombardia;2989
1 Marzo;80-89;Emilia-Romagna;2928
1 Marzo;80-89;Campania;2616
1 Marzo;80-89;Veneto;2422
1 Marzo;90+;Emilia-Romagna;1388
1 Marzo;90+;Lombardia;1078
1 Marzo;90+;Lazio;705
1 Marzo;90+;Toscana;601
1 Marzo;90+;Piemonte;592
1 Aprile;16-19;Lombardia;29
1 Aprile;16-19;Sicilia;25
1 Aprile;16-19;Campania;22
1 Aprile;16-19;Veneto;21
1 Aprile;16-19;Lazio;20
1 Aprile;20-29;Lombardia;1232
1 Aprile;20-29;Veneto;519
1 Aprile;20-29;Lazio;291
1 Aprile;20-29;Campania;278
1 Aprile;20-29;Piemonte;255
1 Aprile;30-39;Lombardia;1905
1 Aprile;30-39;Veneto;551
1 Aprile;30-39;Lazio;537
1 Aprile;30-39;Piemonte;344
1 Aprile;30-39;Campania;323
1 Aprile;40-49;Lombardia;2619
1 Aprile;40-49;Veneto;782
1 Aprile;40-49;Lazio;616
1 Aprile;40-49;Sardegna;487
1 Aprile;40-49;Calabria;406
1 Aprile;50-59;Lombardia;3060
1 Aprile;50-59;Veneto;1155
1 Aprile;50-59;Lazio;861
1 Aprile;50-59;Liguria;640
1 Aprile;50-59;Sardegna;635
1 Aprile;60-69;Lazio;1543
1 Aprile;60-69;Lombardia;1472
1 Aprile;60-69;Veneto;1134
1 Aprile;60-69;Sicilia;968
1 Aprile;60-69;Campania;931
1 Aprile;70-79;Veneto;4258
1 Aprile;70-79;Lazio;3894
1 Aprile;70-79;Emilia-Romagna;3234
1 Aprile;70-79;Sicilia;2948
1 Aprile;70-79;Campania;2890
1 Aprile;80-89;Lombardia;11241
1 Aprile;80-89;Veneto;7128
1 Aprile;80-89;Piemonte;5465
1 Aprile;80-89;Emilia-Romagna;5175
1 Aprile;80-89;Lazio;4958
